timestamp,distancia,ax,ay,az,evento
2026-06-26 16:52:28,101.7,2084,10024,-13400,
2026-06-26 16:52:30,101.7,2088,10072,-13528,
2026-06-26 16:52:33,101.7,2060,10044,-13308,
2026-06-26 16:52:36,101.3,2028,10088,-13376,
2026-06-26 16:52:39,101.7,2164,10064,-13484,
2026-06-26 16:52:41,101.7,2120,10080,-13428,
2026-06-26 16:52:45,101.7,2032,10032,-13360,
2026-06-26 16:52:47,101.7,2016,9948,-13484,
2026-06-26 16:52:50,101.7,2136,10024,-13436,
2026-06-26 16:52:53,100.0,900,8752,-12000,
2026-06-26 16:52:57,49.7,464,10260,-12932,Obstaculo
2026-06-26 16:52:59,114.4,-2270,11359,-3977,
2026-06-26 16:53:03,37.9,250,-763,541,Obstaculo
2026-06-26 16:53:05,37.2,2248,9864,-13480,Obstaculo
2026-06-26 16:53:08,134.6,-2684,1731,-4724,
2026-06-26 16:53:11,134.5,-2684,1731,-4724,
2026-06-26 16:53:14,100.4,-2684,1731,-4724,
2026-06-26 16:53:24,27.9,1016,10952,-13372,Obstaculo
2026-06-26 16:53:26,27.9,1280,10884,-12600,Obstaculo
2026-06-26 16:53:30,27.7,508,10784,-12652,Obstaculo
2026-06-26 16:53:36,37.3,868,9820,-12344,Obstaculo
2026-06-26 16:53:39,50.4,-3344,7588,-2592,
2026-06-26 16:53:42,38.6,220,10176,-13208,Obstaculo
2026-06-26 16:53:44,36.8,1164,11348,-12684,Obstaculo
2026-06-26 16:53:49,36.8,1656,10028,-12348,Obstaculo
2026-06-26 16:53:51,56.6,1864,10724,-12928,
2026-06-26 16:53:55,101.1,1936,10664,-12796,
2026-06-26 16:53:57,56.6,1856,10656,-13064,
2026-06-26 16:54:00,57.0,1856,10704,-13012,
2026-06-26 16:54:02,56.6,1840,10656,-12980,
2026-06-26 16:54:06,56.6,1836,10696,-12896,
2026-06-26 16:54:08,56.6,1820,10664,-12900,
2026-06-26 16:54:12,56.6,1832,10680,-12888,
2026-06-26 16:54:14,56.6,1856,10668,-12808,
2026-06-26 16:54:17,56.6,1940,10676,-12812,
2026-06-26 16:54:20,56.6,1828,10684,-13040,
2026-06-26 16:54:23,56.6,1828,10728,-12864,
2026-06-26 16:54:25,56.6,1880,10672,-12912,
2026-06-26 16:54:29,56.6,1880,10636,-12920,
2026-06-26 16:54:31,56.6,1836,10708,-12928,
2026-06-26 16:54:34,56.6,1852,10616,-12884,
2026-06-26 16:54:37,56.6,1868,10732,-12868,
2026-06-26 16:54:43,56.6,1864,10676,-12860,
2026-06-26 16:54:46,56.6,1868,10668,-12884,
2026-06-26 16:54:48,56.6,1872,10748,-12856,
2026-06-26 16:54:51,56.6,1904,10640,-12908,
2026-06-26 16:54:53,56.6,1844,10688,-12832,
2026-06-26 16:54:57,56.6,1800,10672,-12896,
2026-06-26 16:54:59,56.6,1884,10684,-12956,
2026-06-26 16:55:02,101.1,1936,10616,-12956,
2026-06-26 16:55:05,56.6,1824,10668,-12872,
2026-06-26 16:55:08,56.6,1880,10668,-12944,
2026-06-26 16:55:10,56.6,1912,10720,-12904,
2026-06-26 16:55:14,56.6,1816,10648,-12932,
2026-06-26 16:55:16,100.7,1872,10684,-12896,
2026-06-26 16:55:19,101.1,1852,10700,-13004,
2026-06-26 16:55:22,56.6,1856,10676,-12928,
2026-06-26 16:55:25,57.0,1800,10632,-13008,
2026-06-26 16:55:27,56.6,1812,10696,-12924,
2026-06-26 16:55:31,101.1,1792,10700,-12888,
2026-06-26 16:55:33,56.6,1872,10724,-12900,
2026-06-26 16:55:37,56.6,1868,10656,-12908,
2026-06-26 16:55:39,56.6,1784,10676,-13008,
2026-06-26 16:55:43,56.6,1784,10680,-12972,
2026-06-26 16:55:45,56.6,1776,10696,-12980,
2026-06-26 16:55:49,101.1,1856,10664,-12972,
2026-06-26 16:55:51,56.6,1900,10628,-12904,
2026-06-26 16:55:54,56.6,1864,10632,-12924,
2026-06-26 16:55:57,56.6,1748,10704,-12928,
2026-06-26 16:56:00,101.1,1756,10620,-12840,
2026-06-26 16:56:03,56.6,1860,10624,-12960,
2026-06-26 16:56:06,56.6,1872,10652,-12856,
2026-06-26 16:56:08,56.6,1808,10692,-12948,
2026-06-26 16:56:12,101.1,1848,10656,-12912,
2026-06-26 16:56:14,56.6,1784,10676,-12860,
2026-06-26 16:56:18,56.6,1852,10620,-12976,
2026-06-26 16:56:20,101.1,1880,10680,-12888,
2026-06-26 16:56:23,101.1,1924,10584,-12944,
2026-06-26 16:56:26,56.6,1876,10708,-12912,
2026-06-26 16:56:29,56.6,1832,10656,-13068,
2026-06-26 16:56:31,56.6,1804,10700,-12992,
2026-06-26 16:56:49,56.6,1896,10616,-12900,
2026-06-26 16:56:51,56.6,1880,10664,-12984,
2026-06-26 16:56:56,56.6,1764,10584,-13020,
2026-06-26 16:56:58,56.6,1900,10668,-12876,
2026-06-26 16:57:03,56.6,1748,10736,-12944,
2026-06-26 16:57:05,56.6,1760,10704,-12944,
2026-06-26 16:57:10,57.0,1804,10596,-12944,
2026-06-26 16:57:12,56.6,1844,10660,-12936,
2026-06-26 16:57:16,56.6,1800,10636,-12892,
2026-06-26 16:57:18,56.6,1788,10584,-12872,
2026-06-26 16:57:24,57.0,1744,10664,-12944,
2026-06-26 16:57:26,56.6,1700,10648,-12980,
2026-06-26 16:57:31,56.6,1840,10688,-12972,
2026-06-26 16:57:33,56.6,1796,10780,-12904,
2026-06-26 16:57:37,56.6,1840,10616,-12996,
2026-06-26 16:57:39,100.7,1876,10656,-12916,
2026-06-26 16:57:44,56.6,1768,10768,-12984,
2026-06-26 16:57:46,56.6,1728,10660,-12980,
2026-06-26 16:57:51,101.1,1780,10700,-13036,
2026-06-26 16:57:53,56.6,1760,10628,-12780,
2026-06-26 16:57:58,101.1,1816,10720,-12956,
2026-06-26 16:58:00,101.1,1792,10688,-12936,
2026-06-26 16:58:05,56.6,1748,10688,-12884,
2026-06-26 16:58:07,56.6,1820,10608,-13024,
2026-06-26 16:58:11,100.7,1840,10704,-12940,
2026-06-26 16:58:14,100.7,1840,10656,-12924,
2026-06-26 16:58:18,56.6,1808,10676,-12888,
2026-06-26 16:58:20,56.6,1716,10740,-12960,
2026-06-26 16:58:25,100.7,1856,10696,-13004,
2026-06-26 16:58:27,52.1,260,12276,-12080,
2026-06-26 16:58:32,119.1,328,11488,-12240,
2026-06-26 16:58:34,118.7,-348,12356,-11960,
2026-06-26 16:58:42,24.2,1744,10920,-15700,Obstaculo
2026-06-26 16:58:44,63.6,616,11196,-12748,
2026-06-26 16:58:48,32.0,372,11624,-12152,Obstaculo
2026-06-26 16:58:50,56.7,-128,10888,-12596,
2026-06-26 16:58:55,56.6,2836,8216,-13644,
